contest,incentive,strong_incentive,weak_incentive,strong_strength,weak_strength,outcome,subject,exp
3,65,65,95,9.5,6.5,1,96,index2v4
3,65,65,65,9.5,9.5,1,96,index2v4
1,75,75,125,8,5,1,96,index2v4
1,75,75,95,8,6.5,1,96,index2v4
1,75,75,75,8,8,1,96,index2v4
2,85,85,125,7.5,5,1,96,index2v4
2,85,85,105,7.5,6,1,96,index2v4
2,85,85,85,7.5,7.5,1,96,index2v4
4,95,95,125,6.5,5,1,96,index2v4
4,95,95,115,6.5,5.5,1,96,index2v4
4,95,95,95,6.5,6.5,1,96,index2v4
5,105,105,125,6,5,1,96,index2v4
5,105,105,115,6,5.5,1,96,index2v4
5,105,105,105,6,6,1,96,index2v4
1,100,65,125,9.5,5,1,97,index2v4
1,80,65,95,9.5,6.5,1,97,index2v4
1,40,65,65,9.5,9.5,1,97,index2v4
2,100,75,125,8,5,1,97,index2v4
2,80,75,95,8,6.5,1,97,index2v4
2,60,75,75,8,8,1,97,index2v4
5,90,85,125,7.5,5,1,97,index2v4
5,80,85,105,7.5,6,1,97,index2v4
5,70,85,85,7.5,7.5,1,97,index2v4
4,90,95,125,6.5,5,1,97,index2v4
4,80,95,115,6.5,5.5,1,97,index2v4
4,70,95,95,6.5,6.5,1,97,index2v4
3,90,105,125,6,5,1,97,index2v4
3,80,105,115,6,5.5,1,97,index2v4
3,70,105,105,6,6,1,97,index2v4
4,50,65,125,9.5,5,1,98,index2v4
4,50,65,95,9.5,6.5,1,98,index2v4
4,50,65,65,9.5,9.5,1,98,index2v4
3,65,75,125,8,5,1,98,index2v4
3,65,75,95,8,6.5,1,98,index2v4
3,65,75,75,8,8,1,98,index2v4
1,125,85,125,7.5,5,1,98,index2v4
1,105,85,105,7.5,6,1,98,index2v4
1,85,85,85,7.5,7.5,1,98,index2v4
2,95,95,125,6.5,5,1,98,index2v4
2,95,95,115,6.5,5.5,1,98,index2v4
2,95,95,95,6.5,6.5,1,98,index2v4
5,50,105,125,6,5,0,98,index2v4
5,50,105,115,6,5.5,0,98,index2v4
5,40,105,105,6,6,0,98,index2v4
